date,type,description,company,document
2023-10-20,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000037/
2023-10-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000035/
2023-09-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000034/
2023-08-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000031/
2023-07-28,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000030/
2023-07-28,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000029/
2023-07-25,10-Q,Quarterly Report - Q2 2023,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000028/
2023-07-21,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000027/
2023-07-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000026/
2023-06-27,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000024/
2023-06-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000021/
2023-05-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000019/
2023-05-05,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000018/
2023-05-01,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000017/
2023-04-21,10-Q,Quarterly Report - Q1 2023,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000016/
2023-04-20,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000015/
2023-04-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000014/
2023-03-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000011/
2023-03-08,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000010/
2023-02-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000009/
2023-02-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000007/
2023-02-10,10-K,Annual Report for FY 2022,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000006/
2023-01-27,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000004/
2023-01-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000002/
2022-12-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000062/
2022-12-08,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000060/
2022-11-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000057/
2022-11-07,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000056/
2022-11-02,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000055/
2022-10-21,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000053/
2022-10-21,10-Q,Quarterly Report - Q3 2022,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000054/
2022-10-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000051/
2022-10-06,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000048/
2022-09-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000045/
2022-08-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000043/
2022-08-03,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000042/
2022-07-22,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496222000039/
